feedback_id,application_id,stage_id,interviewer_id,date_of_interview,decision,decision_reason
FB-00001,APP-0001,STG-0026,IV-009,2026-06-07,No,Failed coding bar
FB-00002,APP-0002,STG-0026,IV-001,2026-07-24,Yes,
FB-00003,APP-0002,STG-0027,IV-001,2026-07-26,No,Too junior for role level
FB-00004,APP-0003,STG-0026,IV-009,2026-06-02,Yes,
FB-00005,APP-0003,STG-0027,IV-008,2026-06-04,No,Not good team fit
FB-00006,APP-0004,STG-0026,IV-001,2026-08-12,Yes,
FB-00007,APP-0004,STG-0027,IV-001,2026-08-12,Yes,
FB-00008,APP-0004,STG-0028,IV-005,2026-08-14,No,Insufficient years of experience
FB-00009,APP-0005,STG-0026,IV-001,2026-08-18,No,Missing required skill
FB-00010,APP-0006,STG-0026,IV-001,2026-06-30,No,Not good team fit
FB-00011,APP-0007,STG-0026,IV-007,2026-06-12,Yes,
FB-00012,APP-0007,STG-0027,IV-007,2026-06-13,No,Missing required skill
FB-00013,APP-0008,STG-0026,IV-003,2026-07-15,No,Commute concerns
FB-00014,APP-0009,STG-0061,IV-001,2026-07-11,Yes,
FB-00015,APP-0009,STG-0062,IV-013,2026-07-12,Yes,
FB-00016,APP-0009,STG-0063,IV-001,2026-07-13,Yes,
FB-00017,APP-0009,STG-0064,IV-009,2026-07-18,Yes,
FB-00018,APP-0009,STG-0065,IV-001,2026-07-20,Yes,
FB-00019,APP-0009,STG-0066,IV-001,2026-07-20,Yes,
FB-00020,APP-0009,STG-0067,IV-001,2026-07-20,Yes,
FB-00021,APP-0010,STG-0061,IV-011,2026-07-26,No,Insufficient years of experience
FB-00022,APP-0011,STG-0061,IV-001,2026-08-12,Yes,
FB-00023,APP-0011,STG-0062,IV-001,2026-08-12,Yes,
FB-00024,APP-0011,STG-0063,IV-001,2026-08-12,Yes,
FB-00025,APP-0011,STG-0064,IV-001,2026-08-16,Yes,
FB-00026,APP-0011,STG-0065,IV-010,2026-09-05,Yes,
FB-00027,APP-0012,STG-0061,IV-001,2026-06-25,No,Commute concerns
FB-00028,APP-0013,STG-0061,IV-001,2026-08-07,Yes,
FB-00029,APP-0013,STG-0062,IV-001,2026-08-07,Yes,
FB-00030,APP-0013,STG-0063,IV-008,2026-08-11,No,Location mismatch
FB-00031,APP-0014,STG-0061,IV-013,2026-06-15,No,Salary expectations misaligned
FB-00032,APP-0015,STG-0061,IV-011,2026-07-26,No,Salary expectations misaligned
FB-00033,APP-0016,STG-0061,IV-013,2026-06-11,Yes,
FB-00034,APP-0016,STG-0062,IV-008,2026-06-12,No,Salary expectations misaligned
FB-00035,APP-0017,STG-0017,IV-001,2026-07-16,No,Insufficient years of experience
FB-00036,APP-0018,STG-0017,IV-004,2026-07-13,Yes,
FB-00037,APP-0018,STG-0018,IV-001,2026-07-13,No,Not good team fit
FB-00038,APP-0019,STG-0017,IV-001,2026-08-20,No,Failed coding bar
FB-00039,APP-0020,STG-0017,IV-004,2026-07-19,Yes,
FB-00040,APP-0020,STG-0018,IV-001,2026-07-19,Yes,
FB-00041,APP-0020,STG-0019,IV-002,2026-07-24,No,LinkedIn profile overstated distributed systems experience
FB-00042,APP-0021,STG-0017,IV-001,2026-08-10,Yes,
FB-00043,APP-0021,STG-0018,IV-009,2026-08-10,No,Insufficient years of experience
FB-00044,APP-0022,STG-0017,IV-007,2026-08-08,Yes,
FB-00045,APP-0022,STG-0018,IV-001,2026-08-10,Yes,
FB-00046,APP-0022,STG-0019,IV-005,2026-08-13,Yes,
FB-00047,APP-0022,STG-0020,IV-001,2026-08-13,Yes,
FB-00048,APP-0022,STG-0021,IV-005,2026-08-17,Yes,
FB-00049,APP-0022,STG-0022,IV-001,2026-08-17,Yes,
FB-00050,APP-0022,STG-0023,IV-002,2026-08-19,Yes,
FB-00051,APP-0022,STG-0024,IV-002,2026-08-29,No,Declined - total comp below market for Staff level
FB-00052,APP-0023,STG-0017,IV-009,2026-06-23,No,Failed coding bar
FB-00053,APP-0024,STG-0017,IV-004,2026-08-02,No,Insufficient years of experience
FB-00054,APP-0025,STG-0017,IV-009,2026-06-22,No,Failed coding bar
FB-00055,APP-0026,STG-0017,IV-001,2026-07-21,No,Commute concerns
FB-00056,APP-0027,STG-0017,IV-007,2026-08-10,Yes,
FB-00057,APP-0027,STG-0018,IV-009,2026-08-11,No,Failed coding bar
FB-00058,APP-0028,STG-0017,IV-002,2026-08-07,No,Salary expectations misaligned
FB-00059,APP-0029,STG-0017,IV-001,2026-07-28,Yes,
FB-00060,APP-0029,STG-0018,IV-001,2026-07-30,Yes,
FB-00061,APP-0029,STG-0019,IV-001,2026-08-04,No,Could not demonstrate claimed backend expertise
FB-00062,APP-0030,STG-0121,IV-008,2026-07-19,Yes,
FB-00063,APP-0030,STG-0122,IV-001,2026-07-22,Yes,
FB-00064,APP-0030,STG-0123,IV-001,2026-07-25,No,Salary expectations misaligned
FB-00065,APP-0031,STG-0121,IV-018,2026-07-02,No,Not good team fit
FB-00066,APP-0032,STG-0121,IV-017,2026-07-26,No,Insufficient years of experience
FB-00067,APP-0033,STG-0121,IV-009,2026-07-01,No,Missing required skill
FB-00068,APP-0034,STG-0121,IV-001,2026-06-09,Yes,
FB-00069,APP-0034,STG-0122,IV-001,2026-06-09,Yes,
FB-00070,APP-0034,STG-0123,IV-001,2026-06-14,Yes,
FB-00071,APP-0034,STG-0124,IV-001,2026-06-19,No,Too junior for role level
FB-00072,APP-0035,STG-0121,IV-001,2026-07-18,Yes,
FB-00073,APP-0035,STG-0122,IV-001,2026-07-19,No,Failed coding bar
FB-00074,APP-0036,STG-0121,IV-018,2026-05-28,Yes,
FB-00075,APP-0036,STG-0122,IV-001,2026-05-28,Yes,
FB-00076,APP-0036,STG-0123,IV-001,2026-05-29,No,Too junior for role level
FB-00077,APP-0037,STG-0121,IV-016,2026-07-12,Yes,
FB-00078,APP-0037,STG-0122,IV-016,2026-07-12,No,Commute concerns
FB-00079,APP-0038,STG-0121,IV-001,2026-06-15,Yes,
FB-00080,APP-0038,STG-0122,IV-015,2026-06-17,Yes,
FB-00081,APP-0038,STG-0123,IV-008,2026-06-21,No,Insufficient years of experience
FB-00082,APP-0039,STG-0078,IV-008,2026-07-09,No,Too junior for role level
FB-00083,APP-0040,STG-0078,IV-009,2026-08-08,Yes,
FB-00084,APP-0040,STG-0079,IV-001,2026-08-08,Yes,
FB-00085,APP-0040,STG-0080,IV-001,2026-08-08,No,Salary expectations misaligned
FB-00086,APP-0041,STG-0078,IV-008,2026-08-16,Yes,
FB-00087,APP-0041,STG-0079,IV-012,2026-08-16,Yes,
FB-00088,APP-0041,STG-0080,IV-013,2026-08-20,Yes,
FB-00089,APP-0041,STG-0081,IV-008,2026-08-23,Yes,
FB-00090,APP-0041,STG-0082,IV-012,2026-08-30,No,Missing system design skills for frontend architecture
FB-00091,APP-0042,STG-0078,IV-001,2026-08-16,Yes,
