candidate_id,sourced_from,profile_summary
CAND-0001,Indeed,4 YOE Python/Django engineer at Meta. Built search infra.
CAND-0002,Employee Referral,Full-stack leaning R/statistics. Led team of 6 at Datadog.
CAND-0003,Indeed,"Mid developer specializing in Node.js. Open to Seattle, WA."
CAND-0004,Employee Referral,14 YOE Angular engineer at Airbnb. Built ML pipeline.
CAND-0005,GitHub,15 YOE TensorFlow engineer at Datadog. Built search infra.
CAND-0006,GitHub,Former Uber Staff Engineer. Expertise in Next.js. 5 years experience.
CAND-0007,Indeed,Former StartupXYZ Senior SWE. Expertise in Python/ML. 11 years experience.
CAND-0008,Indeed,Full-stack leaning Java/Kotlin. Led team of 11 at Uber.
CAND-0009,Employee Referral,Mid developer specializing in Next.js. Open to Remote - US.
CAND-0010,Indeed,Mid developer specializing in React Native. Open to Remote - US.
CAND-0011,Indeed,3 YOE Python/Django engineer at Square. Built ML pipeline.
CAND-0012,Recruiter Agency,"Senior developer specializing in Java/Kotlin. Open to Austin, TX."
CAND-0013,Employee Referral,15 YOE TensorFlow engineer at StartupXYZ. Built search infra.
CAND-0014,LinkedIn,Full-stack leaning Python/ML. Led team of 6 at Uber.
CAND-0015,Employee Referral,2 YOE Python/ML engineer at Plaid. Built search infra.
CAND-0016,Employee Referral,"Senior developer specializing in Spark/Airflow. Open to Austin, TX."
CAND-0017,Employee Referral,Former Stripe Senior SWE. Expertise in Go microservices. 2 years experience.
CAND-0018,Employee Referral,Former Meta Staff Engineer. Expertise in Go microservices. 14 years experience.
CAND-0019,Indeed,Full-stack leaning dbt/Snowflake. Led team of 3 at Datadog.
CAND-0020,Employee Referral,8 YOE React/TypeScript engineer at Meta. Built search infra.
CAND-0021,Employee Referral,"Mid developer specializing in Next.js. Open to San Francisco, CA."
CAND-0022,Employee Referral,Former Meta Senior SWE. Expertise in Python/ML. 14 years experience.
CAND-0023,GitHub,Full-stack leaning Node.js. Led team of 8 at Stripe.
CAND-0024,Employee Referral,Junior developer specializing in React/TypeScript. Open to Remote - US.
CAND-0025,Employee Referral,2 YOE Spark/Airflow engineer at Meta. Built search infra.
CAND-0026,LinkedIn,"Mid developer specializing in Java/Kotlin. Open to Seattle, WA."
CAND-0027,LinkedIn,"Junior developer specializing in TensorFlow. Open to Austin, TX."
CAND-0028,Employee Referral,"Mid developer specializing in Go microservices. Open to Seattle, WA."
CAND-0029,LinkedIn,"Mid developer specializing in TensorFlow. Open to Seattle, WA."
CAND-0030,Indeed,Senior developer specializing in Go microservices. Open to Remote - US.
CAND-0031,Company Website,2 YOE Node.js engineer at Airbnb. Built ML pipeline.
CAND-0032,Employee Referral,9 YOE Next.js engineer at Stripe. Built ML pipeline.
CAND-0033,LinkedIn,"Junior developer specializing in Python/Django. Open to Seattle, WA."
CAND-0034,Indeed,Former Square Senior SWE. Expertise in React Native. 13 years experience.
CAND-0035,Employee Referral,"Junior developer specializing in Next.js. Open to Austin, TX."
CAND-0036,Employee Referral,Former Datadog SWE. Expertise in Angular. 6 years experience.
CAND-0037,GitHub,"Junior developer specializing in React Native. Open to Seattle, WA."
CAND-0038,Employee Referral,Full-stack leaning TensorFlow. Led team of 5 at Uber.
CAND-0039,Employee Referral,"Junior developer specializing in React Native. Open to Seattle, WA."
CAND-0040,Indeed,Full-stack leaning Go microservices. Led team of 10 at Airbnb.
CAND-0041,Employee Referral,Full-stack leaning Spark/Airflow. Led team of 5 at Airbnb.
CAND-0042,Indeed,Full-stack leaning TensorFlow. Led team of 9 at Plaid.
CAND-0043,LinkedIn,9 YOE React Native engineer at Uber. Built search infra.
CAND-0044,Employee Referral,Full-stack leaning Ruby on Rails. Led team of 9 at Meta.
CAND-0045,Employee Referral,Full-stack leaning Python/ML. Led team of 9 at Meta.
CAND-0046,LinkedIn,Staff developer specializing in Python/Django. Open to Remote - US.
CAND-0047,Indeed,"Mid developer specializing in Angular. Open to Seattle, WA."
CAND-0048,Indeed,5 YOE Go microservices engineer at Uber. Built search infra.
CAND-0049,Indeed,Full-stack leaning Node.js. Led team of 8 at Uber.
CAND-0050,Company Website,Full-stack leaning Python/ML. Led team of 8 at Square.
CAND-0051,LinkedIn,Full-stack leaning R/statistics. Led team of 9 at Datadog.
CAND-0052,LinkedIn,Full-stack leaning dbt/Snowflake. Led team of 11 at StartupXYZ.
CAND-0053,Employee Referral,3 YOE Next.js engineer at StartupXYZ. Built design system.
CAND-0054,Employee Referral,5 YOE Next.js engineer at Airbnb. Built ML pipeline.
CAND-0055,Employee Referral,Former Stripe Senior SWE. Expertise in Java/Kotlin. 13 years experience.
CAND-0056,Employee Referral,Full-stack leaning R/statistics. Led team of 11 at Datadog.
CAND-0057,Indeed,"Staff developer specializing in Java/Kotlin. Open to New York, NY."
CAND-0058,Employee Referral,14 YOE React Native engineer at Meta. Built ML pipeline.
CAND-0059,Employee Referral,Full-stack leaning Next.js. Led team of 8 at Meta.
CAND-0060,Indeed,Full-stack leaning R/statistics. Led team of 5 at Plaid.
CAND-0061,Employee Referral,"Staff developer specializing in Next.js. Open to Seattle, WA."
CAND-0062,Employee Referral,6 YOE Angular engineer at Airbnb. Built design system.
CAND-0063,LinkedIn,Full-stack leaning Node.js. Led team of 5 at Plaid.
CAND-0064,Indeed,Full-stack leaning React Native. Led team of 7 at Uber.
CAND-0065,Indeed,5 YOE Angular engineer at Datadog. Built search infra.
CAND-0066,Employee Referral,8 YOE TensorFlow engineer at Airbnb. Built search infra.
CAND-0067,Employee Referral,9 YOE Spark/Airflow engineer at Airbnb. Built design system.
CAND-0068,Employee Referral,Full-stack leaning Go microservices. Led team of 2 at Plaid.
CAND-0069,Company Website,Full-stack leaning React/TypeScript. Led team of 4 at Square.
CAND-0070,Employee Referral,Former Square Tech Lead. Expertise in Ruby on Rails. 2 years experience.
CAND-0071,Employee Referral,Former Meta Senior SWE. Expertise in R/statistics. 1 years experience.
CAND-0072,Employee Referral,Full-stack leaning Java/Kotlin. Led team of 5 at Square.
CAND-0073,Indeed,Former Meta Staff Engineer. Expertise in dbt/Snowflake. 14 years experience.
CAND-0074,LinkedIn,14 YOE Vue.js engineer at Meta. Built ML pipeline.
CAND-0075,LinkedIn,"Staff developer specializing in Angular. Open to San Francisco, CA."
CAND-0076,Company Website,6 YOE R/statistics engineer at Airbnb. Built payments API.
CAND-0077,Recruiter Agency,Former Stripe Tech Lead. Expertise in TensorFlow. 14 years experience.
CAND-0078,LinkedIn,Full-stack leaning Next.js. Led team of 4 at Uber.
CAND-0079,LinkedIn,Full-stack leaning Next.js. Led team of 7 at Stripe.
CAND-0080,Recruiter Agency,Full-stack leaning React Native. Led team of 10 at Stripe.
CAND-0081,LinkedIn,Former Stripe Staff Engineer. Expertise in Next.js. 11 years experience.
CAND-0082,Employee Referral,"Staff developer specializing in Spark/Airflow. Open to San Francisco, CA."
CAND-0083,LinkedIn,"Staff developer specializing in Python/Django. Open to Austin, TX."
CAND-0084,LinkedIn,7 YOE Python/Django engineer at StartupXYZ. Built ML pipeline.
