stage_id,job_type,role_level,stage_name,stage_order,expected_duration_days,grading_rubric_1_to_5
STG-0001,BE,SWE1,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0002,BE,SWE1,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0003,BE,SWE1,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0004,BE,SWE1,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0005,BE,SWE1,HM - Org fit,5,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0006,BE,SWE1,Recruiter debrief,6,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0007,BE,SWE1,Offer stage,7,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0008,BE,SWE1,Hired or Not Hired,8,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0009,BE,SWE2,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0010,BE,SWE2,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0011,BE,SWE2,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0012,BE,SWE2,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0013,BE,SWE2,HM - Org fit,5,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0014,BE,SWE2,Recruiter debrief,6,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0015,BE,SWE2,Offer stage,7,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0016,BE,SWE2,Hired or Not Hired,8,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0017,BE,SWE3,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0018,BE,SWE3,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0019,BE,SWE3,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0020,BE,SWE3,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0021,BE,SWE3,System design,5,7,"1=No scalable thinking, 3=Adequate design, 5=Production-grade architecture"
STG-0022,BE,SWE3,HM - Org fit,6,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0023,BE,SWE3,Recruiter debrief,7,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0024,BE,SWE3,Offer stage,8,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0025,BE,SWE3,Hired or Not Hired,9,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0026,BE,Staff SWE,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0027,BE,Staff SWE,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0028,BE,Staff SWE,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0029,BE,Staff SWE,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
